1.000000	766.746883	747.881477	19.109868
2.000000	506.295789	862.752871	133.015392
3.000000	280.002952	807.831459	20.736173
4.000000	222.021581	821.603846	45.185196
5.000000	175.572547	821.201887	33.639043
6.000000	146.024464	821.158136	28.464987
7.000000	126.294555	827.765492	25.714729
8.000000	110.645629	829.255786	22.974344
9.000000	99.960404	840.490190	21.244982
10.000000	91.412795	847.183269	24.308798
11.000000	85.266437	862.495211	25.894695
12.000000	78.842479	866.989940	24.816764
13.000000	73.488600	873.675263	24.810415
14.000000	69.877708	888.104668	28.008839
15.000000	66.154512	894.176687	28.357786
16.000000	62.908969	910.738637	26.039534
